Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1654.1975998240641
FDW14,OUT017,1375.2553574257233
NCN55,OUT010,576.2490257283733
FDQ58,OUT017,2470.9399441643236
FDY38,OUT027,5989.53247931535
FDH56,OUT046,1943.4724129453189
FDL48,OUT018,734.1114968965717
FDC48,OUT027,2120.237723936332
FDN33,OUT045,1499.0117459548942
FDA36,OUT017,3164.9915529852424
FDT44,OUT017,1982.2676921838013
FDQ56,OUT045,1376.1060877602324
NCC54,OUT019,573.4978430618949
FDU11,OUT049,2048.5231986797926
DRL59,OUT013,802.102871137889
FDM24,OUT049,2421.266575028429
FDI57,OUT045,3073.3091324386432
DRC12,OUT018,2917.9873227428734
NCM42,OUT027,2936.257874395176
FDA46,OUT010,509.1769503321021
FDA31,OUT013,2840.423873515826
NCJ31,OUT035,3873.2397365569586
FDG52,OUT046,746.2390509873815
NCL19,OUT019,304.0453064257494
FDS10,OUT035,2917.115642763002
FDX22,OUT010,575.4218053606442
NCF19,OUT035,743.462156917678
NCE06,OUT046,2620.556612014843
DRC27,OUT046,4031.275550452183
FDE21,OUT035,1944.949808841942
NCR42,OUT019,130.36953952429266
FDX51,OUT018,3013.229317895118
NCR06,OUT018,655.726860348846
FDU31,OUT027,5988.022764251488
FDU59,OUT017,2601.5959719758534
FDR03,OUT027,5928.050079182184
FDS49,OUT027,1984.4389982736507
FDD48,OUT010,268.2898335432927
NCF18,OUT017,3051.5975448641057
NCD43,OUT027,2827.7290795716135
NCD54,OUT018,2073.169769078431
FDY19,OUT010,272.0329573358711
NCY54,OUT017,2861.6395764602803
NCL19,OUT018,2462.456511936995
FDP23,OUT010,570.7971095336836
FDC26,OUT013,1745.9668753278754
FDR14,OUT010,130.36953952429266
NCS41,OUT035,3152.598696286138
FDF41,OUT035,3999.397143898559
FDU34,OUT046,2063.3961189895986
DRH11,OUT046,871.6994112867028
FDM03,OUT013,1658.549755225358
FDS31,OUT017,2978.8951197494084
FDJ20,OUT017,2085.1484634526064
FDV44,OUT027,5069.514172055343
FDG02,OUT049,3208.3668917297314
FDA09,OUT013,3038.21742768394
FDT04,OUT013,670.3870666696454
FDL58,OUT019,565.1196703127821
FDE52,OUT045,1390.0612123458275
FDW12,OUT035,2438.443724111482
FDL51,OUT017,3547.5546005148963
NCY42,OUT027,3128.6263479843356
FDR07,OUT017,1548.444421063893
FDN40,OUT045,2423.9740104130447
FDB35,OUT027,2505.932306025605
FDA22,OUT017,2606.6983901136646
NCL06,OUT046,4079.6009622896886
FDI35,OUT013,2989.343283574964
NCW42,OUT045,3588.78413719681
NCX06,OUT049,3047.1690053623547
FDC37,OUT027,2873.2827703739476
FDZ14,OUT018,1987.8417863409568
DRG49,OUT049,4004.539184453413
NCG06,OUT045,4003.951574807525
DRC36,OUT045,2855.7943689164385
FDV21,OUT019,293.7080877380902
FDB53,OUT046,2438.3152219612107
DRP47,OUT019,565.3389832278665
FDA14,OUT013,2421.6278847454237
DRC24,OUT035,2471.897016049398
FDW21,OUT018,1609.544734098522
NCH29,OUT046,1564.9545245733634
FDU58,OUT013,3109.4743685841636
FDY27,OUT017,2905.2501285703247
FDV56,OUT035,1663.2832834483163
FDT59,OUT046,3828.8843831880645
FDB23,OUT046,3757.87102711558
FDR49,OUT045,741.1482243823286
FDB03,OUT010,567.8627257393609
FDN39,OUT045,2745.8271842187123
FDX02,OUT027,5989.53247931535
FDQ16,OUT027,2873.2827703739476
FDU35,OUT018,1597.8342197799159
NCT29,OUT013,2100.3683710201008
FDZ27,OUT046,748.5880719043698
FDN57,OUT017,2103.7860409462246
FDA03,OUT018,2383.5327245476424
FDZ36,OUT045,3159.902056034055
NCU05,OUT013,1424.9203893708725
FDT39,OUT018,2404.6351095479044
FDK60,OUT017,1552.195293617055
FDZ25,OUT017,2841.9218458648143
FDG12,OUT046,2070.949792017833
DRB01,OUT019,505.8243520146653
NCC43,OUT027,5989.53247931535
FDX13,OUT019,578.4310265221793
FDM22,OUT049,827.3960698146419
FDJ03,OUT027,1259.0057381775418
FDU14,OUT018,3788.432364424979
FDB33,OUT010,388.3995174826551
FDP27,OUT046,3168.697834193341
FDO38,OUT010,157.39987227819157
FDE28,OUT027,5980.845440365242
FDO27,OUT035,1499.7205456277254
DRL23,OUT027,2867.6378616227566
FDS28,OUT046,871.6345489724773
FDX24,OUT013,1472.4136210303373
FDZ02,OUT035,1537.634246522144
FDL46,OUT045,1927.7373121254027
FDS60,OUT027,4800.809710310657
NCO06,OUT017,593.0946604700497
